#m,n,s_x,s_y,s_z,freq
16,15,-4.0,0.0,0.0,17272071707.40309
16,24,0.0,4.0,0.0,5702676694.157733
17,9,0.0,-4.0,0.0,57641472570.093506
17,18,4.0,0.0,0.0,442017757716.31354
17,24,-4.0,0.0,0.0,12649456091.14358
17,25,0.0,4.0,0.0,55632487287.89459
18,10,0.0,-4.0,0.0,870323441.0347514
18,17,-4.0,0.0,0.0,2064362864.9257815
18,19,4.0,0.0,0.0,13067144686.132895
18,26,0.0,4.0,0.0,107747917649.0776
19,11,0.0,-4.0,0.0,43611555135.80964
19,18,-4.0,0.0,0.0,69830484515.53963
19,20,4.0,0.0,0.0,11040098270.798866
19,27,0.0,4.0,0.0,837566285.0957583
20,12,0.0,-4.0,0.0,576052387252.7996
20,19,-4.0,0.0,0.0,82651895144.88719
20,21,4.0,0.0,0.0,26347951594.777958
20,28,0.0,4.0,0.0,11852124325.480509
21,13,0.0,-4.0,0.0,156882444845.83905
21,20,-4.0,0.0,0.0,34632105702.219666
21,22,4.0,0.0,0.0,77859766693.97305
21,29,0.0,4.0,0.0,21160104232.71833
22,14,0.0,-4.0,0.0,3312564918.931351
22,21,-4.0,0.0,0.0,11719596441.302355
22,23,4.0,0.0,0.0,2395484825.076542
22,30,0.0,4.0,0.0,20277140568.56074
23,15,0.0,-4.0,0.0,92889807803.15373
23,22,-4.0,0.0,0.0,380918733074.4884
23,24,4.0,0.0,0.0,30669195395.75493
23,31,0.0,4.0,0.0,57675931266.86559
24,16,0.0,-4.0,0.0,160009955605.9594
24,17,4.0,0.0,0.0,72136306738.6105
24,23,-4.0,0.0,0.0,29752493761.007492
24,32,0.0,4.0,0.0,584741333081.2538
25,17,0.0,-4.0,0.0,16402017762.485886
25,26,4.0,0.0,0.0,856091382565.4266
25,32,-4.0,0.0,0.0,132955763405.12762
25,33,0.0,4.0,0.0,798335093013.0656
26,18,0.0,-4.0,0.0,8468702361.740079
26,25,-4.0,0.0,0.0,1065873414.0424333
26,27,4.0,0.0,0.0,101575975.39117555
26,34,0.0,4.0,0.0,3338461242.807781
27,19,0.0,-4.0,0.0,1089448155811.3267
27,26,-4.0,0.0,0.0,8983276224060.664
27,28,4.0,0.0,0.0,156224790323.3957
27,35,0.0,4.0,0.0,1523370867397.8281
28,20,0.0,-4.0,0.0,76989155666.00961
28,27,-4.0,0.0,0.0,5840846659.345246
28,29,4.0,0.0,0.0,47040124348.46919
28,36,0.0,4.0,0.0,15582209367.74296
29,21,0.0,-4.0,0.0,43122899331.29955
29,28,-4.0,0.0,0.0,19398015147.82802
29,30,4.0,0.0,0.0,74610853355.24455
29,37,0.0,4.0,0.0,692613295198.4974
30,22,0.0,-4.0,0.0,45000676578.733505
30,29,-4.0,0.0,0.0,12229923712.60927
30,31,4.0,0.0,0.0,6813673636.812033
30,38,0.0,4.0,0.0,3364907524.0562387
31,23,0.0,-4.0,0.0,15820898330.106955
31,30,-4.0,0.0,0.0,133919687573.1563
31,32,4.0,0.0,0.0,310936395933.7728
31,39,0.0,4.0,0.0,11841401208.686426
32,24,0.0,-4.0,0.0,1560493491.8129396
32,25,4.0,0.0,0.0,6863072508.462066
32,31,-4.0,0.0,0.0,2934635689.4857445
32,40,0.0,4.0,0.0,19628985936.62569
33,25,0.0,-4.0,0.0,1142985010.4965684
33,34,4.0,0.0,0.0,3579985304.4285913
33,40,-4.0,0.0,0.0,3269036815.3838243
33,41,0.0,4.0,0.0,7260470550.180991
34,26,0.0,-4.0,0.0,273325037585.24417
34,33,-4.0,0.0,0.0,254885136969.2877
34,35,4.0,0.0,0.0,46350060846.68353
34,42,0.0,4.0,0.0,5063740742.940146
35,27,0.0,-4.0,0.0,598990740.9913878
35,34,-4.0,0.0,0.0,19686814385.97526
35,36,4.0,0.0,0.0,1597987360.3655913
35,43,0.0,4.0,0.0,7981528158.698468
36,28,0.0,-4.0,0.0,58559413696.25494
36,35,-4.0,0.0,0.0,571021440656.801
36,37,4.0,0.0,0.0,2090885494003.5723
36,44,0.0,4.0,0.0,1028977406586.6805
37,29,0.0,-4.0,0.0,1317452395.1432498
37,36,-4.0,0.0,0.0,436410816.0318792
37,38,4.0,0.0,0.0,362480223.1949177
37,45,0.0,4.0,0.0,6997587949.67235
38,30,0.0,-4.0,0.0,271176856464.50104
38,37,-4.0,0.0,0.0,2517337460854.0903
38,39,4.0,0.0,0.0,23977908058.905777
38,46,0.0,4.0,0.0,2621580882112.84
39,31,0.0,-4.0,0.0,77058874079.6953
39,38,-4.0,0.0,0.0,38055239949.441986
39,40,4.0,0.0,0.0,515426007058.345
39,47,0.0,4.0,0.0,308710883092.99255
40,32,0.0,-4.0,0.0,46486611565.84329
40,33,4.0,0.0,0.0,279129632426.6636
40,39,-4.0,0.0,0.0,1770351189.4463377
40,48,0.0,4.0,0.0,11877182709.361055
41,33,0.0,-4.0,0.0,125678499535.34633
41,42,4.0,0.0,0.0,2496824044.6495743
41,48,-4.0,0.0,0.0,5347717792.061502
41,49,0.0,4.0,0.0,4514717858.92553
42,34,0.0,-4.0,0.0,180199795169.1155
42,41,-4.0,0.0,0.0,365458289550.95013
42,43,4.0,0.0,0.0,73057515103.03276
42,50,0.0,4.0,0.0,24046734858.58697
43,35,0.0,-4.0,0.0,114324603825.7561
43,42,-4.0,0.0,0.0,12489954570.456491
43,44,4.0,0.0,0.0,206012289518.17844
43,51,0.0,4.0,0.0,31617626873.79542
44,36,0.0,-4.0,0.0,886788221.8077173
44,43,-4.0,0.0,0.0,4429274810.747641
44,45,4.0,0.0,0.0,14219121861.497915
44,52,0.0,4.0,0.0,50213118157.79294
45,37,0.0,-4.0,0.0,130399939411.98618
45,44,-4.0,0.0,0.0,64173094059.91633
45,46,4.0,0.0,0.0,135799825612.2365
45,53,0.0,4.0,0.0,8222769396.932031
46,38,0.0,-4.0,0.0,348066714.58937
46,45,-4.0,0.0,0.0,6719338854.475656
46,47,4.0,0.0,0.0,2823579170.1462283
46,54,0.0,4.0,0.0,8236053204.503459
47,39,0.0,-4.0,0.0,2955791631.072661
47,46,-4.0,0.0,0.0,323166091574.4971
47,48,4.0,0.0,0.0,19830233380.99912
47,55,0.0,4.0,0.0,54457514105.71686
48,40,0.0,-4.0,0.0,76826724568.96188
48,41,4.0,0.0,0.0,170630740092.8802
48,47,-4.0,0.0,0.0,46014841436.089195
48,56,0.0,4.0,0.0,29056260030.473442
49,41,0.0,-4.0,0.0,202113415097.10275
49,50,4.0,0.0,0.0,13298830107.740602
49,56,-4.0,0.0,0.0,34417361968.375336
49,57,0.0,4.0,0.0,156056280453.97263
50,42,0.0,-4.0,0.0,37946317869.4913
50,49,-4.0,0.0,0.0,68613933502.030754
50,51,4.0,0.0,0.0,96058997882.18056
50,58,0.0,4.0,0.0,193613384248.41663
51,43,0.0,-4.0,0.0,28860010534.933052
51,50,-4.0,0.0,0.0,9499214699.142614
51,52,4.0,0.0,0.0,327175707298.48944
51,59,0.0,4.0,0.0,661230524773.5829
52,44,0.0,-4.0,0.0,18172244189.254818
52,51,-4.0,0.0,0.0,2788975539.1736293
52,53,4.0,0.0,0.0,2328486347.463103
52,60,0.0,4.0,0.0,3809858071.4020047
53,45,0.0,-4.0,0.0,110970525940.78238
53,52,-4.0,0.0,0.0,391879061546.3457
53,54,4.0,0.0,0.0,136019208968.93608
53,61,0.0,4.0,0.0,61612082926.39257
54,46,0.0,-4.0,0.0,110791543231.94183
54,53,-4.0,0.0,0.0,6708501332.894169
54,55,4.0,0.0,0.0,18669755848.926285
54,62,0.0,4.0,0.0,2908428886.511598
55,47,0.0,-4.0,0.0,16755907052.531563
55,54,-4.0,0.0,0.0,48875038969.499756
55,56,4.0,0.0,0.0,10580586114.612928
55,63,0.0,4.0,0.0,118303327340.0472
56,48,0.0,-4.0,0.0,31404077596.715084
56,49,4.0,0.0,0.0,26512347038.850983
56,55,-4.0,0.0,0.0,86241445869.15454
56,64,0.0,4.0,0.0,5794937526.197916
57,1,0.0,4.0,0.0,191965675969.3811
57,49,0.0,-4.0,0.0,5847153616.713606
57,58,4.0,0.0,0.0,16499377636.158766
57,64,-4.0,0.0,0.0,1278041882.3457725
58,2,0.0,4.0,0.0,16341127939.752851
58,50,0.0,-4.0,0.0,4712923376.70494
58,57,-4.0,0.0,0.0,55304209939.869865
58,59,4.0,0.0,0.0,328061728921.39886
59,3,0.0,4.0,0.0,29274610387.29892
59,51,0.0,-4.0,0.0,1379980219.4246378
59,58,-4.0,0.0,0.0,2781443137.7515025
59,60,4.0,0.0,0.0,1885111111.052582
60,4,0.0,4.0,0.0,4453653648.13871
60,52,0.0,-4.0,0.0,239506309045.13712
60,59,-4.0,0.0,0.0,484048414609.2687
60,61,4.0,0.0,0.0,37655705604.82219
61,5,0.0,4.0,0.0,9738972481.49781
61,53,0.0,-4.0,0.0,14810163872.522478
61,60,-4.0,0.0,0.0,24232318317.000713
61,62,4.0,0.0,0.0,6420854119.7728
62,6,0.0,4.0,0.0,367324823137.5389
62,54,0.0,-4.0,0.0,313738131573.07855
62,61,-4.0,0.0,0.0,142112720153.126
62,63,4.0,0.0,0.0,759411463624.754
63,7,0.0,4.0,0.0,4038204466.6354527
63,55,0.0,-4.0,0.0,7713097046.243695
63,62,-4.0,0.0,0.0,1201568699.413527
63,64,4.0,0.0,0.0,518276509.2354552
64,8,0.0,4.0,0.0,41608824623.3139
64,56,0.0,-4.0,0.0,157462447272.6636
64,57,4.0,0.0,0.0,713971159530.7844
64,63,-4.0,0.0,0.0,1760614321519.9683
