#m,n,s_x,s_y,s_z,freq
1,2,4.0,0.0,0.0,1404513799.2365475
1,8,-4.0,0.0,0.0,277017337.9967014
1,9,0.0,4.0,0.0,1004149596.9864765
1,57,0.0,-4.0,0.0,4753376040.062813
2,1,-4.0,0.0,0.0,649680369935.3605
2,3,4.0,0.0,0.0,587712141570.9865
2,10,0.0,4.0,0.0,4771530877.479531
2,58,0.0,-4.0,0.0,55839783399.98969
3,2,-4.0,0.0,0.0,1552605400.0317166
3,4,4.0,0.0,0.0,286788854.4309598
3,11,0.0,4.0,0.0,5316118682.893259
3,59,0.0,-4.0,0.0,31169844195.88412
4,3,-4.0,0.0,0.0,3181731195509.1533
4,5,4.0,0.0,0.0,82343152303.72952
4,12,0.0,4.0,0.0,2703122611573.7827
4,60,0.0,-4.0,0.0,204884599647.453
5,4,-4.0,0.0,0.0,11081492742.730343
5,6,4.0,0.0,0.0,242175353551.74854
5,13,0.0,4.0,0.0,235557795589.13077
5,61,0.0,-4.0,0.0,93694180407.7243
6,5,-4.0,0.0,0.0,3767869154.6633253
6,7,4.0,0.0,0.0,8348629254.700237
6,14,0.0,4.0,0.0,1599081822.6615553
6,62,0.0,-4.0,0.0,2484136620.207813
7,6,-4.0,0.0,0.0,109297588481.79701
7,8,4.0,0.0,0.0,5340214087.061513
7,15,0.0,4.0,0.0,12866268233.33954
7,63,0.0,-4.0,0.0,225963061604.84775
8,1,4.0,0.0,0.0,3293963660419.6387
8,7,-4.0,0.0,0.0,170870498783.58322
8,16,0.0,4.0,0.0,127284422376.02574
8,64,0.0,-4.0,0.0,21930084613.734596
9,1,0.0,-4.0,0.0,908714246767.3636
9,10,4.0,0.0,0.0,6673986606.194413
9,16,-4.0,0.0,0.0,35114281737.374695
9,17,0.0,4.0,0.0,15830356234.527386
10,2,0.0,-4.0,0.0,191235280269.0697
10,9,-4.0,0.0,0.0,136722636485.4255
10,11,4.0,0.0,0.0,654789327826.6086
10,18,0.0,4.0,0.0,1048443603429.134
11,3,0.0,-4.0,0.0,171644972412.59946
11,10,-4.0,0.0,0.0,1393555157.1924045
11,12,4.0,0.0,0.0,145825457143.05957
11,19,0.0,4.0,0.0,20923010927.39692
12,4,0.0,-4.0,0.0,337567019.9939847
12,11,-4.0,0.0,0.0,6257378255.787948
12,13,4.0,0.0,0.0,7175616583.383064
12,20,0.0,4.0,0.0,1584031356.9725304
13,5,0.0,-4.0,0.0,3873720427.656361
13,12,-4.0,0.0,0.0,127164688088.3248
13,14,4.0,0.0,0.0,1644005051.0436394
13,21,0.0,4.0,0.0,5816361706.779711
14,6,0.0,-4.0,0.0,570630615479.4214
14,13,-4.0,0.0,0.0,555037859578.3866
14,15,4.0,0.0,0.0,67173362769.45053
14,22,0.0,4.0,0.0,275461784749.4717
15,7,0.0,-4.0,0.0,70920722941.47063
15,14,-4.0,0.0,0.0,13584031036.217575
15,16,4.0,0.0,0.0,52830086634.95839
15,23,0.0,4.0,0.0,9823306412.701384
16,8,0.0,-4.0,0.0,7168866603.107492
16,9,4.0,0.0,0.0,25986151489.355217
