#m,n,s_x,s_y,s_z,freq
1,2,4.0,0.0,0.0,27019916773.503017
1,8,-4.0,0.0,0.0,9155273043.344793
1,9,0.0,4.0,0.0,21603905994.64251
1,57,0.0,-4.0,0.0,60907127128.97554
2,1,-4.0,0.0,0.0,1616093548371.2742
2,3,4.0,0.0,0.0,1511621668085.8215
2,10,0.0,4.0,0.0,61062112595.04175
2,58,0.0,-4.0,0.0,314747640665.50226
3,2,-4.0,0.0,0.0,28887329480.056004
3,4,4.0,0.0,0.0,9369322316.045568
3,11,0.0,4.0,0.0,65624062480.198006
3,59,0.0,-4.0,0.0,213381331578.13663
4,3,-4.0,0.0,0.0,4660605292701.366
4,5,4.0,0.0,0.0,407772868167.87946
4,12,0.0,4.0,0.0,4180650191739.8037
4,60,0.0,-4.0,0.0,748754669184.2372
5,4,-4.0,0.0,0.0,107085872023.26926
5,6,4.0,0.0,0.0,837053650890.1017
5,13,0.0,4.0,0.0,821734752314.2218
5,61,0.0,-4.0,0.0,444435161690.81006
6,5,-4.0,0.0,0.0,52167161721.05923
6,7,4.0,0.0,0.0,88663209921.64105
6,14,0.0,4.0,0.0,29460975596.31721
6,62,0.0,-4.0,0.0,39516971285.11063
7,6,-4.0,0.0,0.0,492500928105.11646
7,8,4.0,0.0,0.0,65822207819.46366
7,15,0.0,4.0,0.0,118295548100.97607
7,63,0.0,-4.0,0.0,799266542389.9875
8,1,4.0,0.0,0.0,4769569729755.845
8,7,-4.0,0.0,0.0,663403957748.6598
8,16,0.0,4.0,0.0,545151030494.45496
8,64,0.0,-4.0,0.0,168795243679.47647
9,1,0.0,-4.0,0.0,2021241584092.0522
9,10,4.0,0.0,0.0,76370134212.83401
9,16,-4.0,0.0,0.0,231023340653.08496
9,17,0.0,4.0,0.0,135829403040.83357
10,2,0.0,-4.0,0.0,715119594121.8177
10,9,-4.0,0.0,0.0,571777352826.0839
10,11,4.0,0.0,0.0,1624554909371.7422
10,18,0.0,4.0,0.0,2223463730708.56
11,3,0.0,-4.0,0.0,665407040113.7292
11,10,-4.0,0.0,0.0,26879185753.14519
11,12,4.0,0.0,0.0,596882571067.0896
11,19,0.0,4.0,0.0,163587251078.89334
12,4,0.0,-4.0,0.0,10444957404.34452
12,11,-4.0,0.0,0.0,73157963210.62096
12,13,4.0,0.0,0.0,80150484124.80217
12,20,0.0,4.0,0.0,29275827733.583126
13,5,0.0,-4.0,0.0,53139669525.00181
13,12,-4.0,0.0,0.0,544809100681.0843
13,14,4.0,0.0,0.0,30010191381.38099
13,21,0.0,4.0,0.0,69678844117.97194
14,6,0.0,-4.0,0.0,1482188294560.2644
14,13,-4.0,0.0,0.0,1455062802507.778
14,15,4.0,0.0,0.0,356012073659.3509
14,22,0.0,4.0,0.0,912096742493.7694
15,7,0.0,-4.0,0.0,369132345858.9792
15,14,-4.0,0.0,0.0,122655146850.35477
15,16,4.0,0.0,0.0,303333853202.75415
15,23,0.0,4.0,0.0,98818546267.11113
16,8,0.0,-4.0,0.0,80100212111.09343
16,9,4.0,0.0,0.0,189014292026.70422
16,15,-4.0,0.0,0.0,143955950561.17703
16,24,0.0,4.0,0.0,68767911306.72498
17,9,0.0,-4.0,0.0,321482037008.28876
17,18,4.0,0.0,0.0,1250143339587.0388
17,24,-4.0,0.0,0.0,116962839003.55994
17,25,0.0,4.0,0.0,313968191628.19336
18,10,0.0,-4.0,0.0,19639049008.1309
18,17,-4.0,0.0,0.0,34929365131.53081
18,19,4.0,0.0,0.0,119523637008.5311
18,26,0.0,4.0,0.0,487834589612.0788
