#m,n,s_x,s_y,s_z,freq
13,12,-4.0,0.0,0.0,1617085789.6600935
13,14,4.0,0.0,0.0,270275.26078569994
13,21,0.0,4.0,0.0,3383006.350409339
14,6,0.0,-4.0,0.0,32561929932.242317
14,13,-4.0,0.0,0.0,30806702556.53568
14,15,4.0,0.0,0.0,451226066.5756203
14,22,0.0,4.0,0.0,7587919485.736428
15,7,0.0,-4.0,0.0,502974894.25408375
15,14,-4.0,0.0,0.0,18452589.919292234
15,16,4.0,0.0,0.0,279101805.38572085
15,23,0.0,4.0,0.0,9649734.88778201
16,8,0.0,-4.0,0.0,5139264.837314996
16,9,4.0,0.0,0.0,67528006.92277184
16,15,-4.0,0.0,0.0,29832446.10656744
16,24,0.0,4.0,0.0,3252052.1478089765
17,9,0.0,-4.0,0.0,332253936.0048842
17,18,4.0,0.0,0.0,19537969813.655766
17,24,-4.0,0.0,0.0,16000873.94017694
17,25,0.0,4.0,0.0,309497364.1837753
18,10,0.0,-4.0,0.0,75746.28920145704
18,17,-4.0,0.0,0.0,426159.403808458
18,19,4.0,0.0,0.0,17075027.024833117
18,26,0.0,4.0,0.0,1160961375.771241
19,11,0.0,-4.0,0.0,190196774.1363764
19,18,-4.0,0.0,0.0,487629656.76750183
19,20,4.0,0.0,0.0,12188376.98288961
19,27,0.0,4.0,0.0,70151.7281929109
20,12,0.0,-4.0,0.0,33183635285.96494
20,19,-4.0,0.0,0.0,683133577.1041428
20,21,4.0,0.0,0.0,69421455.32407624
20,28,0.0,4.0,0.0,14047285.102664685
21,13,0.0,-4.0,0.0,2461210150.080773
21,20,-4.0,0.0,0.0,119938274.53697158
21,22,4.0,0.0,0.0,606214326.9639916
21,29,0.0,4.0,0.0,44775001.113950424
22,14,0.0,-4.0,0.0,1097308.634213467
22,21,-4.0,0.0,0.0,13734894.074698681
22,23,4.0,0.0,0.0,573834.7547171991
22,30,0.0,4.0,0.0,41116242.96371718
23,15,0.0,-4.0,0.0,862851639.370684
23,22,-4.0,0.0,0.0,14509908120.707338
23,24,4.0,0.0,0.0,94059954.62229952
23,31,0.0,4.0,0.0,332651304.75002044
24,16,0.0,-4.0,0.0,2560318589.30211
24,17,4.0,0.0,0.0,520364674.98869026
24,23,-4.0,0.0,0.0,88521088.49987897
24,32,0.0,4.0,0.0,34192242661.36418
25,17,0.0,-4.0,0.0,26902618.668090254
25,26,4.0,0.0,0.0,73289245530.27838
25,32,-4.0,0.0,0.0,1767723502.264027
25,33,0.0,4.0,0.0,63733892073.618004
26,18,0.0,-4.0,0.0,7171891.969174199
26,25,-4.0,0.0,0.0,113608.61347624724
26,27,4.0,0.0,0.0,1031.7678776668704
26,34,0.0,4.0,0.0,1114532.3469729675
27,19,0.0,-4.0,0.0,118689728420.0701
27,26,-4.0,0.0,0.0,8069925171777.361
27,28,4.0,0.0,0.0,2440618511.158895
27,35,0.0,4.0,0.0,232065879963.64105
28,20,0.0,-4.0,0.0,592733009.016506
28,27,-4.0,0.0,0.0,3411548.9697984527
28,29,4.0,0.0,0.0,221277329.87194443
28,36,0.0,4.0,0.0,24280524.87801765
29,21,0.0,-4.0,0.0,185958444.67373955
29,28,-4.0,0.0,0.0,37628299.16753653
29,30,4.0,0.0,0.0,556677943.8397806
29,37,0.0,4.0,0.0,47971317668.57209
30,22,0.0,-4.0,0.0,202506089.25437737
30,29,-4.0,0.0,0.0,14957103.401624251
30,31,4.0,0.0,0.0,4642614.842898732
30,38,0.0,4.0,0.0,1132260.2645450283
31,23,0.0,-4.0,0.0,25030082.3971581
31,30,-4.0,0.0,0.0,1793448271.9691792
31,32,4.0,0.0,0.0,9668144231.628393
31,39,0.0,4.0,0.0,14021878.258508032
32,24,0.0,-4.0,0.0,243513.99379905412
32,25,4.0,0.0,0.0,4710176.4256407805
32,31,-4.0,0.0,0.0,861208.663000347
32,40,0.0,4.0,0.0,38529708.8900249
33,25,0.0,-4.0,0.0,130641.4734219841
33,34,4.0,0.0,0.0,1281629.4779924673
33,40,-4.0,0.0,0.0,1068660.1700334817
33,41,0.0,4.0,0.0,5271443.261004547
34,26,0.0,-4.0,0.0,7470657617.097515
34,33,-4.0,0.0,0.0,6496643304.785255
34,35,4.0,0.0,0.0,214832814.04912665
34,42,0.0,4.0,0.0,2564147.031171202
35,27,0.0,-4.0,0.0,35878.990779341184
35,34,-4.0,0.0,0.0,38757066.06678425
35,36,4.0,0.0,0.0,255356.36038881904
35,43,0.0,4.0,0.0,6370479.174809656
36,28,0.0,-4.0,0.0,342920493.2449129
36,35,-4.0,0.0,0.0,32606548568.976852
36,37,4.0,0.0,0.0,437180214903.4563
36,44,0.0,4.0,0.0,105879450326.5851
37,29,0.0,-4.0,0.0,173568.0813468685
37,36,-4.0,0.0,0.0,19045.440034961066
37,38,4.0,0.0,0.0,13139.191220743736
37,45,0.0,4.0,0.0,4896623.711339968
38,30,0.0,-4.0,0.0,7353688748.196861
38,37,-4.0,0.0,0.0,633698789181.9319
38,39,4.0,0.0,0.0,57494007.48813386
38,46,0.0,4.0,0.0,687268632145.9535
39,31,0.0,-4.0,0.0,593807007.4430337
39,38,-4.0,0.0,0.0,144820128.76096055
39,40,4.0,0.0,0.0,26566396875.210907
39,47,0.0,4.0,0.0,9530240934.005533
40,32,0.0,-4.0,0.0,216100505.48735952
40,33,4.0,0.0,0.0,7791335169.864431
40,39,-4.0,0.0,0.0,313414.33339740627
40,48,0.0,4.0,0.0,14106746.91115452
41,33,0.0,-4.0,0.0,1579508524.5456047
41,42,4.0,0.0,0.0,623413.030994026
41,48,-4.0,0.0,0.0,2859808.558353115
41,49,0.0,4.0,0.0,2038267.734570112
42,34,0.0,-4.0,0.0,3247196617.8991184
42,41,-4.0,0.0,0.0,13355976140.15061
42,43,4.0,0.0,0.0,533740051.30298597
42,50,0.0,4.0,0.0,57824545.73591817
43,35,0.0,-4.0,0.0,1307011503.9916089
43,42,-4.0,0.0,0.0,15599896.517206702
43,44,4.0,0.0,0.0,4244106343.2521763
43,51,0.0,4.0,0.0,99967432.91305503
44,36,0.0,-4.0,0.0,78639.33503368932
44,43,-4.0,0.0,0.0,1961847.5349123545
44,45,4.0,0.0,0.0,20218342.65121279
44,52,0.0,4.0,0.0,252135723.51284745
45,37,0.0,-4.0,0.0,1700414419.8649664
45,44,-4.0,0.0,0.0,411818600.1222868
45,46,4.0,0.0,0.0,1844159263.6313846
45,53,0.0,4.0,0.0,6761393.655512195
46,38,0.0,-4.0,0.0,12115.043780503795
46,45,-4.0,0.0,0.0,4514951.464126621
46,47,4.0,0.0,0.0,797259.9330083664
46,54,0.0,4.0,0.0,6783257.23874117
47,39,0.0,-4.0,0.0,873670.4166319183
47,46,-4.0,0.0,0.0,10443632274.353624
47,48,4.0,0.0,0.0,39323815.594489165
47,55,0.0,4.0,0.0,296562084.2574351
48,40,0.0,-4.0,0.0,590234560.7995132
48,41,4.0,0.0,0.0,2911484946.4644036
48,47,-4.0,0.0,0.0,211736563.23884314
48,56,0.0,4.0,0.0,84426624.69584885
49,41,0.0,-4.0,0.0,4084983256.221376
49,50,4.0,0.0,0.0,17685888.223454792
49,56,-4.0,0.0,0.0,118455480.48621689
49,57,0.0,4.0,0.0,2435356266.912896
50,42,0.0,-4.0,0.0,143992303.98524752
50,49,-4.0,0.0,0.0,470787187.0621098
50,51,4.0,0.0,0.0,922733107.412877
50,58,0.0,4.0,0.0,3748614256.0125027
51,43,0.0,-4.0,0.0,83290020.80764468
51,50,-4.0,0.0,0.0,9023507.990040714
51,52,4.0,0.0,0.0,10704394344.626684
51,59,0.0,4.0,0.0,43722580689.234795
52,44,0.0,-4.0,0.0,33023045.887390547
52,51,-4.0,0.0,0.0,777838.4558108838
52,53,4.0,0.0,0.0,542184.8670322062
52,60,0.0,4.0,0.0,1451501.8524227
53,45,0.0,-4.0,0.0,1231445762.7573853
53,52,-4.0,0.0,0.0,15356919887.844461
53,54,4.0,0.0,0.0,1850122520.85351
53,61,0.0,4.0,0.0,379604876.2528675
54,46,0.0,-4.0,0.0,1227476605.171524
54,53,-4.0,0.0,0.0,4500399.013344284
54,55,4.0,0.0,0.0,34855978.34585173
54,62,0.0,4.0,0.0,845895.8587895094
55,47,0.0,-4.0,0.0,28076042.115307696
55,54,-4.0,0.0,0.0,238876943.42701197
55,56,4.0,0.0,0.0,11194880.252873989
55,63,0.0,4.0,0.0,1399567725.972636
56,48,0.0,-4.0,0.0,98621608.97005022
56,49,4.0,0.0,0.0,70290454.55084704
56,55,-4.0,0.0,0.0,743758698.5602314
56,64,0.0,4.0,0.0,3358130.093253682
57,1,0.0,4.0,0.0,3685082075.038142
57,49,0.0,-4.0,0.0,3418920.5417447006
57,58,4.0,0.0,0.0,27222946.238057602
57,64,-4.0,0.0,0.0,163339.10530299257
58,2,0.0,4.0,0.0,26703246.23433713
58,50,0.0,-4.0,0.0,2221164.675469189
58,57,-4.0,0.0,0.0,305855563.7073201
58,59,4.0,0.0,0.0,10762449798.28974
59,3,0.0,4.0,0.0,85700281.33281498
59,51,0.0,-4.0,0.0,190434.54060032713
59,58,-4.0,0.0,0.0,773642.5928544926
59,60,4.0,0.0,0.0,355364.39010138996
60,4,0.0,4.0,0.0,1983503.0817579243
60,52,0.0,-4.0,0.0,5736327207.242474
60,59,-4.0,0.0,0.0,23430286768.57465
60,61,4.0,0.0,0.0,141795216.45970368
61,5,0.0,4.0,0.0,9484758.499537162
61,53,0.0,-4.0,0.0,21934095.393097
61,60,-4.0,0.0,0.0,58720525.10164482
61,62,4.0,0.0,0.0,4122736.762740334
62,6,0.0,4.0,0.0,13492752569.302423
62,54,0.0,-4.0,0.0,9843161520.296637
62,61,-4.0,0.0,0.0,2019602522.9320707
62,63,4.0,0.0,0.0,57670577108.46909
63,7,0.0,4.0,0.0,1630709.531435452
63,55,0.0,-4.0,0.0,5949186.604477322
63,62,-4.0,0.0,0.0,144376.7339410315
63,64,4.0,0.0,0.0,26861.05400252889
64,8,0.0,4.0,0.0,173129428.65336934
64,56,0.0,-4.0,0.0,2479442230.109637
64,57,4.0,0.0,0.0,50975481664.173294
64,63,-4.0,0.0,0.0,309976278914.1218
