#m,n,s_x,s_y,s_z,freq
1,2,4.0,0.0,0.0,197265.90122458813
1,8,-4.0,0.0,0.0,7673.86055507787
1,9,0.0,4.0,0.0,100831.64131281033
1,57,0.0,-4.0,0.0,2259458.3778243223
2,1,-4.0,0.0,0.0,42208458307.93469
2,3,4.0,0.0,0.0,34540556134.99552
2,10,0.0,4.0,0.0,2276750.6914740587
2,58,0.0,-4.0,0.0,311808141.0157764
3,2,-4.0,0.0,0.0,241058.35282076465
3,4,4.0,0.0,0.0,8224.784702582227
3,11,0.0,4.0,0.0,2826111.7850606763
3,59,0.0,-4.0,0.0,97155918.7195691
4,3,-4.0,0.0,0.0,1012341340047.6105
4,5,4.0,0.0,0.0,678039473.1315198
4,12,0.0,4.0,0.0,730687185320.1469
4,60,0.0,-4.0,0.0,4197769917.26971
5,4,-4.0,0.0,0.0,12279948.140718527
5,6,4.0,0.0,0.0,5864890186.79144
5,13,0.0,4.0,0.0,5548747506.281071
5,61,0.0,-4.0,0.0,877859944.2275187
6,5,-4.0,0.0,0.0,1419683.796666332
6,7,4.0,0.0,0.0,6969961.043243664
6,14,0.0,4.0,0.0,255706.2675566602
6,62,0.0,-4.0,0.0,617093.4747857497
7,6,-4.0,0.0,0.0,1194596284.7936246
7,8,4.0,0.0,0.0,2851788.6495650224
7,15,0.0,4.0,0.0,16554085.825224217
7,63,0.0,-4.0,0.0,5105930520.983623
8,1,4.0,0.0,0.0,1085019659616.5144
8,7,-4.0,0.0,0.0,2919672735.455052
8,16,0.0,4.0,0.0,1620132417.9598522
8,64,0.0,-4.0,0.0,48092861.116555884
9,1,0.0,-4.0,0.0,82576158227.79771
9,10,4.0,0.0,0.0,4454209.721966242
9,16,-4.0,0.0,0.0,123301278.19317262
9,17,0.0,4.0,0.0,25060017.851204008
10,2,0.0,-4.0,0.0,3657093241.9589634
10,9,-4.0,0.0,0.0,1869307932.7525804
10,11,4.0,0.0,0.0,42874906383.5622
10,18,0.0,4.0,0.0,109923398957.14673
11,3,0.0,-4.0,0.0,2946199655.4522038
11,10,-4.0,0.0,0.0,194199.59761375474
11,12,4.0,0.0,0.0,2126506395.0982301
11,19,0.0,4.0,0.0,43777238.62679707
12,4,0.0,-4.0,0.0,11395.149298761928
12,11,-4.0,0.0,0.0,3915478.263600782
12,13,4.0,0.0,0.0,5148947.335172203
12,20,0.0,4.0,0.0,250915.53398722367
13,5,0.0,-4.0,0.0,1500570.9951642184
