#m,n,s_x,s_y,s_z,freq
53,54,4.0,0.0,0.0,321277414309.34143
53,61,0.0,4.0,0.0,170503270193.58453
54,46,0.0,-4.0,0.0,272649866523.2011
54,53,-4.0,0.0,0.0,28926801027.924152
54,55,4.0,0.0,0.0,65601068151.87555
54,62,0.0,4.0,0.0,14822680907.777582
55,47,0.0,-4.0,0.0,60163674655.94789
55,54,-4.0,0.0,0.0,141667324943.19244
55,56,4.0,0.0,0.0,41649307132.36714
55,63,0.0,4.0,0.0,287340979346.98804
56,48,0.0,-4.0,0.0,99446346721.24792
56,49,4.0,0.0,0.0,86847743847.7796
56,55,-4.0,0.0,0.0,223137633693.54935
56,64,0.0,4.0,0.0,25729953814.109795
57,1,0.0,4.0,0.0,423232359910.66486
57,49,0.0,-4.0,0.0,25915261950.783543
57,58,4.0,0.0,0.0,59425664974.73311
57,64,-4.0,0.0,0.0,7677787165.581789
58,2,0.0,4.0,0.0,58969252708.052086
58,50,0.0,-4.0,0.0,21808826787.49341
58,57,-4.0,0.0,0.0,156389126523.76266
58,59,4.0,0.0,0.0,649777180754.7083
59,3,0.0,4.0,0.0,94014079685.09561
59,51,0.0,-4.0,0.0,8163911516.602685
59,58,-4.0,0.0,0.0,14302638063.863604
59,60,4.0,0.0,0.0,10477786928.094936
60,4,0.0,4.0,0.0,20843620234.389996
60,52,0.0,-4.0,0.0,505188628670.52124
60,59,-4.0,0.0,0.0,886974310727.0858
60,61,4.0,0.0,0.0,114991206846.7572
61,5,0.0,4.0,0.0,38977188638.37388
61,53,0.0,-4.0,0.0,54506449219.071655
61,60,-4.0,0.0,0.0,80819465186.38835
61,62,4.0,0.0,0.0,27930212656.779953
62,6,0.0,4.0,0.0,711279386309.1085
62,54,0.0,-4.0,0.0,626980226877.5736
62,61,-4.0,0.0,0.0,332741033972.6255
62,63,4.0,0.0,0.0,1271691355042.1052
63,7,0.0,4.0,0.0,19273058687.562763
63,55,0.0,-4.0,0.0,32343203742.16296
63,62,-4.0,0.0,0.0,7308005831.481462
63,64,4.0,0.0,0.0,3729488050.5414863
64,8,0.0,4.0,0.0,124551326813.07643
64,56,0.0,-4.0,0.0,361194890034.971
64,57,4.0,0.0,0.0,1210443535105.2148
64,63,-4.0,0.0,0.0,2491904441721.682
